regime,rows,relabel_ready_rows,direction_missing_rows,data_missing_rows,horizon_context_missing_rows,partial_horizon_context_rows,required_fields_missing_rows,rows_with_missing_required,rows_with_missing_recommended,relabel_ready_rate_percent
trend,30,17,11,2,0,0,0,0,13,56.67
breakout,3,0,3,0,0,0,0,0,3,0.0
