run_id,case_id,base_case_id,phase,symbol,timeframe,direction,volume,open_time,close_time,duration_minutes,open_price,close_price,sl,tp,profit,commission,swap,total_profit,exit_reason,magic_number,entry_comment,exit_comment,open_deal,close_deal
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-02 09:00:00,2026-01-05 04:44:00,4064.0,1.17428,1.16853,1.17428,2.0,17.25,0.0,0.06,17.31,TP,,FAT Trend Sell,tp 1.16858,2,3
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-05 18:00:00,2026-01-06 04:46:29,646.48,1.17036,1.17307,1.17036,4.0,-8.13,0.0,0.06,-8.07,SL,,FAT Trend Sell,sl 1.17306,4,5
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-06 17:00:00,2026-01-07 12:02:35,1142.58,1.17078,1.16903,1.17078,6.0,5.25,0.0,0.06,5.31,SL,,FAT Trend Sell,sl 1.16902,6,7
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.08,2026-01-08 08:00:00,2026-01-08 12:12:16,252.27,1.16814,1.16808,1.16814,8.0,0.48,0.0,0.0,0.48,SL,,FAT Trend Sell,sl 1.16808,8,9
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.08,2026-01-08 13:00:00,2026-01-08 17:18:18,258.3,1.16791,1.16711,1.16791,10.0,6.4,0.0,0.0,6.4,SL,,FAT Trend Sell,sl 1.16710,10,11
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-09 16:00:00,2026-01-09 17:51:34,111.57,1.16444,1.16404,1.16444,12.0,2.0,0.0,0.0,2.0,SL,,FAT Trend Sell,sl 1.16403,12,13
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.06,2026-01-15 12:00:00,2026-01-15 15:40:15,220.25,1.16348,1.16058,1.16348,14.0,17.4,0.0,0.0,17.4,TP,,FAT Trend Sell,tp 1.16058,14,15
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.07,2026-01-16 15:00:00,2026-01-16 17:40:16,160.27,1.16181,1.15912,1.16181,16.0,18.83,0.0,0.0,18.83,TP,,FAT Trend Sell,tp 1.15913,16,17
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-16 18:00:00,2026-01-19 01:09:16,3309.27,1.15926,1.16101,1.15926,18.0,-8.75,0.0,0.1,-8.65,SL,,FAT Breakout Sell,sl 1.16101,18,19
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-19 03:00:00,2026-01-20 09:34:05,1834.08,1.16329,1.16845,1.16329,20.0,15.48,0.0,-0.25,15.23,TP,,FAT Breakout Buy,tp 1.16843,20,21
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-21 06:00:00,2026-01-21 20:41:04,881.07,1.172,1.16926,1.172,22.0,-8.22,0.0,0.0,-8.22,SL,,FAT Trend Buy,sl 1.16926,22,23
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.05,2026-01-23 10:00:00,2026-01-23 18:34:27,514.45,1.17369,1.17661,1.17369,24.0,14.6,0.0,0.0,14.6,TP,,FAT Trend Buy,tp 1.17660,24,25
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.04,2026-01-23 19:00:00,2026-01-23 21:55:32,175.53,1.17716,1.18084,1.17716,26.0,14.72,0.0,0.0,14.72,TP,,FAT Breakout Buy,tp 1.18083,26,27
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.02,2026-01-26 16:00:00,2026-01-27 00:00:37,480.62,1.1857,1.18686,1.1857,28.0,2.32,0.0,-0.17,2.15,SL,,FAT Trend Buy,sl 1.18689,28,29
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-27 15:00:00,2026-01-27 18:38:02,218.03,1.19296,1.19795,1.19296,30.0,14.97,0.0,0.0,14.97,TP,,FAT Breakout Buy,tp 1.19795,30,31
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.01,2026-01-28 08:00:00,2026-01-28 17:07:28,547.47,1.19981,1.19445,1.19981,32.0,-5.36,0.0,0.0,-5.36,SL,,FAT Trend Buy,sl 1.19446,32,33
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.02,2026-01-28 18:00:00,2026-01-29 11:50:02,1070.03,1.19444,1.19567,1.19444,34.0,2.46,0.0,-0.51,1.95,SL,,FAT Trend Buy,sl 1.19567,34,35
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-02-03 07:00:00,2026-02-03 15:18:14,498.23,1.18083,1.18077,1.18083,36.0,0.18,0.0,0.0,0.18,SL,,FAT Trend Sell,sl 1.18076,36,37
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.04,2026-02-04 07:00:00,2026-02-04 11:48:29,288.48,1.18366,1.1812,1.18366,38.0,-9.84,0.0,0.0,-9.84,SL,,FAT Breakout Buy,sl 1.18122,38,39
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-02-05 12:00:00,2026-02-05 14:07:24,127.4,1.17797,1.17967,1.17797,40.0,-8.5,0.0,0.0,-8.5,SL,,FAT Breakout Sell,sl 1.17966,40,41
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-02-05 17:00:00,2026-02-06 06:39:00,819.0,1.1797,1.17947,1.1797,42.0,0.69,0.0,0.06,0.75,SL,,FAT Trend Sell,sl 1.17947,42,43
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,sell,0.04,2026-02-06 07:00:00,2026-02-06 16:30:37,570.62,1.17944,1.18166,1.17944,44.0,-8.88,0.0,0.0,-8.88,SL,,FAT Trend Sell,sl 1.18166,44,45
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.05,2026-02-09 09:00:00,2026-02-09 15:01:26,361.43,1.18528,1.18832,1.18528,46.0,15.2,0.0,0.0,15.2,TP,,FAT Breakout Buy,tp 1.18832,46,47
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-02-11 02:00:00,2026-02-11 13:42:14,702.23,1.18888,1.19077,1.18888,48.0,5.67,0.0,0.0,5.67,SL,,FAT Trend Buy,sl 1.19077,48,49
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.04,2026-02-11 14:00:00,2026-02-11 15:30:19,90.32,1.19091,1.18866,1.19091,50.0,-9.0,0.0,0.0,-9.0,SL,,FAT Trend Buy,sl 1.18866,50,51
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,out_of_sample,EURUSD,H1,buy,0.05,2026-02-13 16:00:00,2026-02-13 17:50:59,110.98,1.1875,1.18545,1.1875,52.0,-10.25,0.0,0.0,-10.25,SL,,FAT Trend Buy,sl 1.18549,52,53
