gap_id,previous_timestamp,next_timestamp,delta_hours,missing_hourly_slot_count,first_missing_timestamp,last_missing_timestamp,previous_weekday,next_weekday,scope,structural_pattern,evidence_status,final_adjudication,notes_code
FCG0019,2026-01-28T23:00:00,2026-01-29T01:00:00,2,1,2026-01-29T00:00:00,2026-01-29T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0020,2026-01-29T23:00:00,2026-01-30T01:00:00,2,1,2026-01-30T00:00:00,2026-01-30T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0021,2026-01-30T23:00:00,2026-02-02T01:00:00,50,49,2026-01-31T00:00:00,2026-02-02T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0022,2026-02-02T23:00:00,2026-02-03T01:00:00,2,1,2026-02-03T00:00:00,2026-02-03T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0023,2026-02-03T23:00:00,2026-02-04T01:00:00,2,1,2026-02-04T00:00:00,2026-02-04T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0024,2026-02-04T23:00:00,2026-02-05T01:00:00,2,1,2026-02-05T00:00:00,2026-02-05T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0025,2026-02-05T23:00:00,2026-02-06T01:00:00,2,1,2026-02-06T00:00:00,2026-02-06T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0026,2026-02-06T23:00:00,2026-02-09T01:00:00,50,49,2026-02-07T00:00:00,2026-02-09T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0027,2026-02-09T23:00:00,2026-02-10T01:00:00,2,1,2026-02-10T00:00:00,2026-02-10T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0028,2026-02-10T23:00:00,2026-02-11T01:00:00,2,1,2026-02-11T00:00:00,2026-02-11T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
