root_cause_bucket,direction_missing_rows,share_of_missing_percent
FIBO_PULLBACK_EMA_DIRECTION_CONTEXT_MISSING,10,71.43
ZONE_REJECTION_CANDLE_DIRECTION_CONTEXT_MISSING,4,28.57
