===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
IK	0	17:41:10.661	Tester	automatical testing started
IL	0	17:41:11.022	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
LN	0	17:41:26.242	Tester	last test passed with result "successfully finished" in 0:00:13.706
ON	0	17:41:26.409	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
OI	0	17:41:28.650	Terminal	exit with code 0
DL	0	17:41:28.652	Network	'168886591': disconnected from XMGlobal-MT5 2
DD	0	17:41:28.745	Terminal	stopped with 0
IG	0	17:41:28.749	Terminal	shutdown with 0
CQ	0	17:41:40.040	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_train\generated_tester.ini"
PI	0	17:41:40.091	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
OQ	0	17:41:40.091	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 11 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
FD	0	17:41:40.091	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
CN	0	17:41:40.091	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_train\generated_tester.ini
RJ	0	17:41:43.777	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
RS	0	17:41:44.780	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
JQ	0	17:41:44.780	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 13:41:08
HR	0	17:41:45.544	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
MQ	0	17:41:45.544	Network	'168886591': trading has been enabled - hedging mode
KK	0	17:41:46.064	Tester	automatical testing started
EL	0	17:41:46.200	AutoTesting	GOLD#: preliminary downloading of M1 history started
MF	0	17:41:46.415	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
DQ	0	17:41:46.802	AutoTesting	GOLD#: 52% history downloaded
GI	0	17:41:47.304	AutoTesting	GOLD#: 62% history downloaded
RP	0	17:41:47.706	AutoTesting	GOLD#: 70% history downloaded
OH	0	17:41:48.109	AutoTesting	GOLD#: 80% history downloaded
GP	0	17:41:48.611	AutoTesting	GOLD#: 91% history downloaded
ML	0	17:41:49.176	AutoTesting	GOLD#: preliminary downloading of M1 history completed in 0:00:03.078
IL	0	17:42:58.417	Tester	last test passed with result "successfully finished" in 0:01:05.864
KL	0	17:42:58.577	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
KK	0	17:43:00.652	Terminal	exit with code 0
HK	0	17:43:00.654	Network	'168886591': disconnected from XMGlobal-MT5 2
PF	0	17:43:00.730	Terminal	stopped with 0
QE	0	17:43:00.734	Terminal	shutdown with 0
QP	0	17:43:12.952	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_validation\generated_tester.ini"
FG	0	17:43:12.997	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
OS	0	17:43:12.998	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
