===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
DH	0	18:38:30.758	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 9 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
HJ	0	18:38:30.758	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
PF	0	18:38:30.758	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H4_10000_validation\generated_tester.ini
DP	0	18:38:39.337	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
PE	0	18:38:40.578	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
EG	0	18:38:40.578	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:37:09
KD	0	18:38:41.924	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
FG	0	18:38:41.924	Network	'168886591': trading has been enabled - hedging mode
MQ	0	18:38:42.838	Tester	automatical testing started
CJ	0	18:38:44.096	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
GE	0	18:39:10.994	Tester	last test passed with result "successfully finished" in 0:00:25.532
QD	0	18:39:11.210	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
PP	0	18:39:14.511	Terminal	exit with code 0
JR	0	18:39:14.514	Network	'168886591': disconnected from XMGlobal-MT5 2
EN	0	18:39:14.626	Terminal	stopped with 0
PN	0	18:39:14.633	Terminal	shutdown with 0
RK	0	18:39:42.176	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H4_10000_out_of_sample\generated_tester.ini"
CN	0	18:39:42.265	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
RK	0	18:39:42.266	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 9 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
NK	0	18:39:42.266	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
LI	0	18:39:42.266	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H4_10000_out_of_sample\generated_tester.ini
CQ	0	18:39:49.558	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
KK	0	18:39:50.513	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
NF	0	18:39:50.513	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:38:39
NE	0	18:39:51.631	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
CI	0	18:39:51.631	Network	'168886591': trading has been enabled - hedging mode
DS	0	18:39:52.624	Tester	automatical testing started
MD	0	18:39:53.846	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
JF	0	18:40:06.734	Tester	last test passed with result "successfully finished" in 0:00:11.764
DF	0	18:40:06.941	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
HQ	0	18:40:09.979	Terminal	exit with code 0
RD	0	18:40:09.983	Network	'168886591': disconnected from XMGlobal-MT5 2
KL	0	18:40:10.129	Terminal	stopped with 0
EO	0	18:40:10.139	Terminal	shutdown with 0
GK	0	20:28:44.360	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_202843\EURUSD_H1_10000_validation\generated_tester.ini"
OQ	0	20:28:44.435	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
QI	0	20:28:44.436	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 11 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
LM	0	20:28:44.436	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
CE	0	20:28:44.436	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_202843\EURUSD_H1_10000_validation\generated_tester.ini
LR	0	20:28:48.669	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
OJ	0	20:28:49.604	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
KI	0	20:28:49.605	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:39:49
CJ	0	20:28:50.412	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
RH	0	20:28:50.412	Network	'168886591': trading has been enabled - hedging mode
PR	0	20:28:51.046	Tester	automatical testing started
JD	0	20:28:51.660	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
