event,timestamp,run_id,preset_file,ticket,position_id,deal_id,actual_symbol,canonical_symbol,timeframe,strategy,regime,direction,entry_price,initial_sl,initial_tp,current_price,close_price,old_sl,new_sl,old_tp,new_tp,sl_distance_points,tp_distance_points,initial_risk_money,lot_size,spread_at_entry,atr,r_target,unrealized_r,profit,duration_seconds,final_sl,final_tp,realized_r,exit_comment,exit_classification,classification_reason
OPEN,2023.01.03 06:00:00,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,2,2,2,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.0673300000000001,1.06419,1.07311,1.0673300000000001,0.0,0.0,1.06419,0.0,1.07311,314.00000000001427,577.9999999999895,9.420000000000428,0.03,16.000000000016,0.0014871428571428538,1.840764331210074,0.0,0.0,0,1.06419,1.07311,0.0,,,open deal
CLOSE,2023.01.03 09:48:26,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,3,2,3,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.0673300000000001,1.06419,1.07311,1.06419,1.06419,0.0,0.0,0.0,0.0,314.00000000001427,577.9999999999895,9.420000000000428,0.03,16.000000000016,0.0014871428571428538,1.840764331210074,0.0,-9.42,13706,1.06419,1.07311,-0.9999999999999546,sl 1.06419,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2023.01.04 07:00:00,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,4,4,4,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05721,1.05995,1.05173,1.05721,0.0,0.0,1.05995,0.0,1.05173,273.9999999999964,547.9999999999928,8.219999999999892,0.03,15.999999999993795,0.001370714285714265,2.0,0.0,0.0,0,1.05995,1.05173,0.0,,,open deal
CLOSE,2023.01.04 09:44:18,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,5,4,5,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05721,1.05995,1.05173,1.05996,1.05996,0.0,0.0,0.0,0.0,273.9999999999964,547.9999999999928,8.219999999999892,0.03,15.999999999993795,0.001370714285714265,2.0,0.0,-8.25,9858,1.05995,1.05173,-1.0036496350365096,sl 1.05995,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2023.01.04 10:00:00,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,6,6,6,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.0593,1.06205,1.0538,1.0593,0.0,0.0,1.06205,0.0,1.0538,275.000000000003,549.9999999999837,8.25000000000009,0.03,16.000000000016,0.0013742857142856853,1.999999999999919,0.0,0.0,0,1.06205,1.0538,0.0,,,open deal
CLOSE,2023.01.04 10:13:26,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,7,6,7,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.0593,1.06205,1.0538,1.06205,1.06205,0.0,0.0,0.0,0.0,275.000000000003,549.9999999999837,8.25000000000009,0.03,16.000000000016,0.0013742857142856853,1.999999999999919,0.0,-8.25,806,1.06205,1.0538,-0.999999999999989,sl 1.06205,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2023.01.04 21:00:00,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,8,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05979,0.0,0.0,1.0647,0.0,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.0,0.0,0,1.0647,1.05004,0.0,,,open deal
MODIFY,2023.01.05 15:38:41,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05653,0.0,1.0647,1.05978,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.6639511201629451,0.0,0,1.05978,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:38:42,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05641,0.0,1.05977,1.05966,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.6883910386965294,0.0,0,1.05966,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:39:16,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.0563,0.0,1.05958,1.05955,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.7107942973523451,0.0,0,1.05955,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:53:20,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05615,0.0,1.05948,1.0594,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.7413441955193707,0.0,0,1.0594,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:53:31,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05599,0.0,1.05932,1.05924,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.7739307535641647,0.0,0,1.05924,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:53:41,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05583,0.0,1.05916,1.05908,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.8065173116089588,0.0,0,1.05908,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:54:59,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05569,0.0,1.05899,1.05894,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.8350305498981706,0.0,0,1.05894,1.05004,0.0,,,trailing
MODIFY,2023.01.05 15:55:03,run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train.log,8,8,0,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.05979,1.0647,1.05004,1.05558,0.0,1.05884,1.05883,1.05004,1.05004,490.99999999999693,974.9999999999925,9.819999999999938,0.02,15.999999999993795,0.0024428571428570882,1.9857433808553944,0.8574338085539863,0.0,0,1.05883,1.05004,0.0,,,trailing
