average_duration_seconds,average_r,base_case_id,case_id,close_events,count,exit_classification,modify_events,net_profit,phase,run_id,symbol,timeframe,warnings
30560.149091,-1.003302,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,275,INITIAL_SL_LOSS,3588,-2380.78,train,run_20260621_214917,EURUSD,H1,
230076.0,-0.02038,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,1,BREAKEVEN_SL,3588,-0.15,train,run_20260621_214917,EURUSD,H1,
53807.072034,0.417531,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,236,TRAILING_SL_PROFIT,3588,832.51,train,run_20260621_214917,EURUSD,H1,
33622.614286,1.798091,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,70,TP_HIT,3588,1100.85,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,0,OTHER_CLOSE,3588,0,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,582,0,UNKNOWN,3588,0,train,run_20260621_214917,EURUSD,H1,
29614.222222,-1.010732,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,117,INITIAL_SL_LOSS,2226,-1014.61,validation,run_20260621_214917,EURUSD,H1,
84757.0,-0.07346,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,1,BREAKEVEN_SL,2226,-0.62,validation,run_20260621_214917,EURUSD,H1,
57241.136364,0.461074,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,110,TRAILING_SL_PROFIT,2226,428.3,validation,run_20260621_214917,EURUSD,H1,
28066.766667,1.778958,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,30,TP_HIT,2226,457.24,validation,run_20260621_214917,EURUSD,H1,
