base_case_id,canonical_symbol,case_dir,case_id,consecutive_losses,deposit,execution_status,expected_payoff,largest_loss,largest_win,max_drawdown,message,net_profit,phase,profit_factor,relative_drawdown,report_period_from,report_period_to,run_id,symbol,timeframe,total_trades,win_rate
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_173616\EURUSD_H1_10000_validation,EURUSD_H1_10000_validation,4,10000,PASS,0.58,-10.45,20.4,63.21,Completed with parseable report.,61.38,validation,1.16,0.63,2025-01-01,2025-12-31,run_20260621_173616,EURUSD,H1,105,60.0
GOLD_HASH_H4_30000,GOLD,research\runs\run_20260621_173616\GOLD_HASH_H4_30000_out_of_sample,GOLD_HASH_H4_30000_out_of_sample,0,30000,PASS,0,0,0,0.0,Completed with parseable report.,0,out_of_sample,0,0.0,2026-01-01,2026-06-18,run_20260621_173616,GOLD#,H4,0,0.0
GOLD_HASH_H4_30000,GOLD,research\runs\run_20260621_173616\GOLD_HASH_H4_30000_train,GOLD_HASH_H4_30000_train,2,30000,PASS,4.53,-14.92,29.57,50.21,Completed with parseable report.,135.85,train,2.12,0.17,2023-01-01,2024-12-31,run_20260621_173616,GOLD#,H4,30,21.0
GOLD_HASH_H4_30000,GOLD,research\runs\run_20260621_173616\GOLD_HASH_H4_30000_validation,GOLD_HASH_H4_30000_validation,0,30000,PASS,0,0,0,0.0,Completed with parseable report.,0,validation,0,0.0,2025-01-01,2025-12-31,run_20260621_173616,GOLD#,H4,0,0.0
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260621_173616\USDJPY_HASH_H1_10000_out_of_sample,USDJPY_HASH_H1_10000_out_of_sample,4,10000,PASS,-2.57,-9.87,15.22,39.83,Completed with parseable report.,-30.79,out_of_sample,0.48,0.4,2026-01-01,2026-06-18,run_20260621_173616,USDJPY#,H1,12,5.0
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260621_173616\USDJPY_HASH_H1_10000_train,USDJPY_HASH_H1_10000_train,4,10000,PASS,-2.45,-9.48,15.12,55.22,Completed with parseable report.,-31.87,train,0.39,0.55,2023-01-01,2024-12-31,run_20260621_173616,USDJPY#,H1,13,6.0
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260621_173616\USDJPY_HASH_H1_10000_validation,USDJPY_HASH_H1_10000_validation,4,10000,PASS,-0.7,-9.96,16.57,87.87,Completed with parseable report.,-63.99,validation,0.8,0.88,2025-01-01,2025-12-31,run_20260621_173616,USDJPY#,H1,91,52.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_183001\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,4,10000,PASS,0.66,-10.25,19.32,59.65,Completed with parseable report.,41.03,out_of_sample,1.18,0.59,2026-01-01,2026-06-18,run_20260621_183001,EURUSD,H1,62,34.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_183001\EURUSD_H1_10000_train,EURUSD_H1_10000_train,4,10000,PASS,-1.86,-9.42,14.25,59.16,Completed with parseable report.,-40.96,train,0.57,0.59,2023-01-01,2024-12-31,run_20260621_183001,EURUSD,H1,22,11.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_183001\EURUSD_H1_10000_validation,EURUSD_H1_10000_validation,4,10000,PASS,0.58,-10.45,20.4,63.21,Completed with parseable report.,61.38,validation,1.16,0.63,2025-01-01,2025-12-31,run_20260621_183001,EURUSD,H1,105,60.0
EURUSD_H4_10000,EURUSD,research\runs\run_20260621_183001\EURUSD_H4_10000_out_of_sample,EURUSD_H4_10000_out_of_sample,3,10000,PASS,-0.21,-9.77,17.62,31.95,Completed with parseable report.,-5.74,out_of_sample,0.94,0.32,2026-01-01,2026-06-18,run_20260621_183001,EURUSD,H4,27,14.0
EURUSD_H4_10000,EURUSD,research\runs\run_20260621_183001\EURUSD_H4_10000_train,EURUSD_H4_10000_train,4,10000,PASS,-2.19,-9.78,12.53,39.94,Completed with parseable report.,-37.3,train,0.49,0.4,2023-01-01,2024-12-31,run_20260621_183001,EURUSD,H4,17,7.0
