run_id,window_index,phase,event_time,runtime_symbol,timeframe,authoritative_source,case_id,classification,paf_candidate_direction,paf_direction_is_usable_for_first_touch,paf_direction_source,paf_direction_reason,paf_fibo_direction_gap_reason,schema_origin,candidate_outcome,candidate_reason,source_row,entry_reference_price,atr,entry_atr_authoritative_source,entry_atr_source_log,entry_atr_join_key,shadow_event_status,h6_bars_available,h6_accepted_closures_crossed,h6_eligibility,h6_exclusion_reason,h6_outcome,h6_touch_bar,h6_future_high,h6_future_low,h6_future_close,h12_bars_available,h12_accepted_closures_crossed,h12_eligibility,h12_exclusion_reason,h12_outcome,h12_touch_bar,h12_future_high,h12_future_low,h12_future_close,h24_bars_available,h24_accepted_closures_crossed,h24_eligibility,h24_exclusion_reason,h24_outcome,h24_touch_bar,h24_future_high,h24_future_low,h24_future_close,h48_bars_available,h48_accepted_closures_crossed,h48_eligibility,h48_exclusion_reason,h48_outcome,h48_touch_bar,h48_future_high,h48_future_low,h48_future_close,h48_gap_detail,h12_gap_detail,h24_gap_detail,h6_gap_detail
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 11:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2,1836.09,5.68,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,5,1849.84,1827.52,1833.18,12,0,INCLUDED,,TP_FIRST,5,1849.84,1827.52,1839.43,24,1,INCLUDED,,TP_FIRST,5,1865.12,1827.52,1858.79,48,2,INCLUDED,,TP_FIRST,5,1865.12,1827.52,1846.31,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 15:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,3,1834.59,6.08,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,1,1849.84,1827.52,1839.07,12,1,INCLUDED,,TP_FIRST,1,1849.84,1827.52,1845.77,24,1,INCLUDED,,TP_FIRST,1,1865.12,1827.52,1857.02,48,2,INCLUDED,,TP_FIRST,1,1865.12,1825.02,1826.86,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 18:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,4,1833.18,7.69,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1840.23,1834.02,1836.45,12,1,INCLUDED,,TP_FIRST,9,1847.1,1834.02,1846.41,24,1,INCLUDED,,TP_FIRST,9,1865.12,1834.02,1850.49,48,2,INCLUDED,,TP_FIRST,9,1865.12,1825.02,1835.91,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 19:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,5,1834.26,7.29,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1840.23,1836.13,1838.6,12,1,INCLUDED,,TP_FIRST,8,1849.03,1836.13,1847.85,24,1,INCLUDED,,TP_FIRST,8,1865.12,1836.13,1850.1,48,2,INCLUDED,,TP_FIRST,8,1865.12,1825.02,1834.29,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 21:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,6,1838.90,7.41,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1846.04,1836.13,1845.77,12,1,INCLUDED,,TP_FIRST,11,1865.12,1836.13,1859.99,24,1,INCLUDED,,TP_FIRST,11,1865.12,1836.13,1855.35,48,2,INCLUDED,,TP_FIRST,11,1865.12,1825.02,1832.96,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 22:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,7,1839.07,7.37,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1847.1,1836.13,1845.6,12,1,INCLUDED,,TP_FIRST,10,1865.12,1836.13,1860.53,24,1,INCLUDED,,TP_FIRST,10,1865.12,1836.13,1854.61,48,3,INCLUDED,,TP_FIRST,10,1865.12,1825.02,1832.84,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.03 23:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,8,1838.16,7.28,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1847.1,1836.13,1846.64,12,1,INCLUDED,,TP_FIRST,9,1865.12,1836.13,1858.79,24,2,INCLUDED,,TP_FIRST,9,1865.12,1836.13,1854.77,48,3,INCLUDED,,TP_FIRST,9,1865.12,1825.02,1834.36,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.04 01:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,9,1839.43,6.80,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,NO_RESOLUTION,,1847.1,1836.13,1846.41,12,0,INCLUDED,,TP_FIRST,8,1865.12,1836.13,1860.07,24,1,INCLUDED,,TP_FIRST,8,1865.12,1836.13,1855.13,48,2,INCLUDED,,TP_FIRST,8,1865.12,1825.02,1835.51,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.04 03:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,10,1838.60,5.75,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,5,1858.59,1843.42,1858.27,12,0,INCLUDED,,TP_FIRST,5,1865.12,1843.42,1860.09,24,1,INCLUDED,,TP_FIRST,5,1865.12,1843.42,1856.84,48,2,INCLUDED,,TP_FIRST,5,1865.12,1825.02,1839.31,,,,
run_20260711_145612,1,dz_w001_20230101_20230108,2023.01.04 21:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,11,1850.10,6.31,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w001_20230101_20230108/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,1858.95,1851.36,1856.84,12,1,INCLUDED,,SL_FIRST,12,1858.95,1843.77,1846.37,24,1,INCLUDED,,SL_FIRST,12,1858.95,1825.02,1833.0,48,2,INCLUDED,,SL_FIRST,12,1869.86,1825.02,1865.86,,,,
