run_id,case_id,base_case_id,phase,actual_symbol,canonical_symbol,timeframe,period_from,period_to,execution_status,total_trades,authoritative_source,diagnostic_count,no_trade_count,ea_mirror_diagnostic_count,tester_excerpt_diagnostic_count,spread_min,spread_median,spread_average,spread_max,forbidden_action_marker_count,baseline_fallback_marker_count,no_trade_confirmation,baseline_fallback_confirmation,classification_counts,regime_counts,paf_candidate_direction_counts,paf_direction_source_counts,paf_direction_confidence_counts,paf_first_touch_usable_counts,paf_fibo_direction_gap_reason_counts,paf_zone_direction_gap_reason_counts,paf_direction_gap_bucket_counts
run_20260709_212026,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB_db_w1_20260329_20260405,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB,db_w1_20260329_20260405,GOLD#,GOLD,H1,2026-03-29,2026-04-05,PASS,0,ea_mirror.log,58,92,58,0,20.0,20.0,23.130434782608695,33.0,0,0,PASS_FROM_REPORT_AND_EA_LOGS,PASS_FROM_EA_LOGS,"{""NO_SETUP"": 47, ""POSSIBLE_FIBO_PULLBACK"": 6, ""POSSIBLE_BREAK_RETEST"": 3, ""POSSIBLE_ZONE_REJECTION"": 2}","{""trend"": 52, ""breakout"": 6}","{""DIRECTION_UNKNOWN"": 53, ""BUY"": 5}","{""NONE"": 53, ""BREAK_RETEST"": 3, ""FIBO_PULLBACK_EMA"": 2}","{""NONE"": 53, ""HIGH"": 5}","{""false"": 53, ""true"": 5}","{""NONE"": 54, ""PRICE_BETWEEN_EMAS"": 4}","{""NONE"": 56, ""WICK_TOO_SMALL"": 2}","{""NO_SETUP_DIRECTION_NOT_REQUIRED"": 47, ""USABLE_DIRECTION"": 5, ""PRICE_BETWEEN_EMAS"": 4, ""WICK_TOO_SMALL"": 2}"
run_20260709_212026,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB_db_w2_20260405_20260412,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB,db_w2_20260405_20260412,GOLD#,GOLD,H1,2026-04-05,2026-04-12,PASS,0,ea_mirror.log,94,115,94,0,20.0,20.0,22.713043478260868,44.0,0,0,PASS_FROM_REPORT_AND_EA_LOGS,PASS_FROM_EA_LOGS,"{""NO_SETUP"": 70, ""POSSIBLE_FIBO_PULLBACK"": 19, ""POSSIBLE_ZONE_REJECTION"": 5}","{""trend"": 62, ""breakout"": 32}","{""DIRECTION_UNKNOWN"": 82, ""BUY"": 10, ""SELL"": 2}","{""NONE"": 82, ""FIBO_PULLBACK_EMA"": 10, ""ZONE_REJECTION"": 2}","{""NONE"": 82, ""HIGH"": 10, ""MEDIUM"": 2}","{""false"": 82, ""true"": 12}","{""NONE"": 85, ""PRICE_BETWEEN_EMAS"": 9}","{""NONE"": 91, ""WICK_TOO_SMALL"": 3}","{""NO_SETUP_DIRECTION_NOT_REQUIRED"": 70, ""USABLE_DIRECTION"": 12, ""PRICE_BETWEEN_EMAS"": 9, ""WICK_TOO_SMALL"": 3}"
run_20260709_212026,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB_db_w3_20260412_20260419,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB,db_w3_20260412_20260419,GOLD#,GOLD,H1,2026-04-12,2026-04-19,PASS,0,ea_mirror.log,82,115,82,0,20.0,20.0,22.660869565217393,32.0,0,0,PASS_FROM_REPORT_AND_EA_LOGS,PASS_FROM_EA_LOGS,"{""NO_SETUP"": 60, ""POSSIBLE_FIBO_PULLBACK"": 13, ""POSSIBLE_ZONE_REJECTION"": 7, ""POSSIBLE_BREAK_RETEST"": 2}","{""trend"": 62, ""breakout"": 20}","{""DIRECTION_UNKNOWN"": 69, ""BUY"": 11, ""SELL"": 2}","{""NONE"": 69, ""FIBO_PULLBACK_EMA"": 9, ""BREAK_RETEST"": 2, ""ZONE_REJECTION"": 2}","{""NONE"": 69, ""HIGH"": 11, ""MEDIUM"": 2}","{""false"": 69, ""true"": 13}","{""NONE"": 78, ""PRICE_BETWEEN_EMAS"": 4}","{""NONE"": 77, ""WICK_TOO_SMALL"": 5}","{""NO_SETUP_DIRECTION_NOT_REQUIRED"": 60, ""USABLE_DIRECTION"": 13, ""WICK_TOO_SMALL"": 5, ""PRICE_BETWEEN_EMAS"": 4}"
run_20260709_212026,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB_db_w4_20260419_20260426,GOLD_HASH_H1_PAF_DATA_EXPANSION_DB,db_w4_20260419_20260426,GOLD#,GOLD,H1,2026-04-19,2026-04-26,PASS,0,ea_mirror.log,113,115,113,0,20.0,22.0,23.234782608695653,44.0,0,0,PASS_FROM_REPORT_AND_EA_LOGS,PASS_FROM_EA_LOGS,"{""NO_SETUP"": 87, ""POSSIBLE_FIBO_PULLBACK"": 21, ""POSSIBLE_ZONE_REJECTION"": 5}","{""trend"": 99, ""breakout"": 14}","{""DIRECTION_UNKNOWN"": 100, ""SELL"": 11, ""BUY"": 2}","{""NONE"": 100, ""FIBO_PULLBACK_EMA"": 12, ""ZONE_REJECTION"": 1}","{""NONE"": 100, ""HIGH"": 12, ""MEDIUM"": 1}","{""false"": 100, ""true"": 13}","{""NONE"": 104, ""PRICE_BETWEEN_EMAS"": 6, ""TREND_ALIGNMENT_CONFLICT"": 3}","{""NONE"": 109, ""WICK_TOO_SMALL"": 4}","{""NO_SETUP_DIRECTION_NOT_REQUIRED"": 87, ""USABLE_DIRECTION"": 13, ""PRICE_BETWEEN_EMAS"": 6, ""WICK_TOO_SMALL"": 4, ""TREND_ALIGNMENT_CONFLICT"": 3}"
