dataset_id,direction,year,horizon_valid_h1_bars,metric,total_events,evaluable_events,evaluation_coverage,mean_bps,median_bps,p25_bps,p75_bps,positive_share,zero_share,negative_share
FJ_2023_2025_GOLD_H1,SHORT,2025,12,RETURN_BPS,155,152,0.980645,-1.647313,-12.954672,-53.143251,33.663372,0.407895,0.000000,0.592105
FJ_2023_2025_GOLD_H1,SHORT,2025,12,MFE_BPS,155,152,0.980645,71.128914,40.086884,18.779434,86.831007,0.986842,0.013158,0.000000
FJ_2023_2025_GOLD_H1,SHORT,2025,12,MAE_BPS,155,152,0.980645,64.592394,55.921540,25.800098,84.624944,0.986842,0.013158,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2020,1,RETURN_BPS,79,75,0.949367,4.830612,1.150179,-10.439048,12.864150,0.533333,0.000000,0.466667
FP_FQ_2020_2022_GOLD_H1,LONG,2020,3,RETURN_BPS,79,67,0.848101,7.620362,0.621002,-18.461778,21.190126,0.507463,0.000000,0.492537
FP_FQ_2020_2022_GOLD_H1,LONG,2020,6,RETURN_BPS,79,44,0.556962,11.894275,3.109354,-17.462278,42.552187,0.545455,0.000000,0.454545
FP_FQ_2020_2022_GOLD_H1,LONG,2020,12,RETURN_BPS,79,28,0.354430,-11.316446,-3.612522,-29.042073,50.947342,0.464286,0.000000,0.535714
FP_FQ_2020_2022_GOLD_H1,LONG,2020,12,MFE_BPS,79,28,0.354430,76.208681,46.725898,18.690525,97.324342,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2020,12,MAE_BPS,79,28,0.354430,84.211926,53.797930,9.376102,89.759622,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2021,1,RETURN_BPS,88,84,0.954545,3.309884,1.070280,-7.811675,11.255550,0.559524,0.000000,0.440476
FP_FQ_2020_2022_GOLD_H1,LONG,2021,3,RETURN_BPS,88,74,0.840909,4.629333,6.320322,-8.957267,16.086718,0.567568,0.000000,0.432432
FP_FQ_2020_2022_GOLD_H1,LONG,2021,6,RETURN_BPS,88,44,0.500000,6.730684,-2.565736,-11.538436,22.060152,0.477273,0.000000,0.522727
FP_FQ_2020_2022_GOLD_H1,LONG,2021,12,RETURN_BPS,88,31,0.352273,8.860934,9.496943,-19.923692,34.865810,0.548387,0.000000,0.451613
FP_FQ_2020_2022_GOLD_H1,LONG,2021,12,MFE_BPS,88,31,0.352273,47.832291,40.462328,21.003696,63.166455,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2021,12,MAE_BPS,88,31,0.352273,38.866321,28.572374,13.732480,50.557884,0.967742,0.032258,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2022,1,RETURN_BPS,85,82,0.964706,-1.952985,-2.098550,-11.848891,9.616800,0.439024,0.000000,0.560976
FP_FQ_2020_2022_GOLD_H1,LONG,2022,3,RETURN_BPS,85,72,0.847059,-9.216248,-5.683438,-25.649940,16.106319,0.430556,0.000000,0.569444
FP_FQ_2020_2022_GOLD_H1,LONG,2022,6,RETURN_BPS,85,47,0.552941,-15.270046,-4.220727,-41.289952,8.646198,0.425532,0.000000,0.574468
FP_FQ_2020_2022_GOLD_H1,LONG,2022,12,RETURN_BPS,85,26,0.305882,-29.028498,-35.076726,-50.526879,8.374226,0.346154,0.000000,0.653846
FP_FQ_2020_2022_GOLD_H1,LONG,2022,12,MFE_BPS,85,26,0.305882,33.206203,30.691366,10.566122,48.876474,0.961538,0.038462,0.000000
FP_FQ_2020_2022_GOLD_H1,LONG,2022,12,MAE_BPS,85,26,0.305882,55.254778,51.449886,35.376353,61.868328,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,1,RETURN_BPS,70,65,0.928571,-0.255798,-4.896575,-13.904904,4.504162,0.384615,0.000000,0.615385
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,3,RETURN_BPS,70,55,0.785714,0.512882,-6.844086,-18.041554,8.710948,0.381818,0.000000,0.618182
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,6,RETURN_BPS,70,41,0.585714,-11.998756,-14.228724,-43.834377,9.511542,0.365854,0.000000,0.634146
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,12,RETURN_BPS,70,24,0.342857,-31.158745,-10.185526,-59.313336,18.356248,0.375000,0.000000,0.625000
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,12,MFE_BPS,70,24,0.342857,58.944751,36.046024,13.497294,58.867828,1.000000,0.000000,0.000000
