run_id,case_id,base_case_id,phase,symbol,timeframe,direction,volume,open_time,close_time,duration_minutes,open_price,close_price,sl,tp,profit,commission,swap,total_profit,exit_reason,magic_number,entry_comment,exit_comment,open_deal,close_deal
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-02 09:00:00,2026-01-05 04:44:00,4064.0,1.17428,1.16853,1.17428,2.0,17.25,0.0,0.06,17.31,TP,,FAT Trend Sell,tp 1.16858,2,3
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-05 18:00:00,2026-01-06 04:46:29,646.48,1.17036,1.17307,1.17036,4.0,-8.13,0.0,0.06,-8.07,SL,,FAT Trend Sell,sl 1.17306,4,5
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-06 17:00:00,2026-01-08 16:19:37,2839.62,1.17078,1.1658,1.17078,6.0,14.94,0.0,0.24,15.18,TP,,FAT Trend Sell,tp 1.16581,6,7
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-09 16:00:00,2026-01-12 02:52:12,3532.2,1.16444,1.1663,1.16444,8.0,-9.3,0.0,0.1,-9.2,SL,,FAT Trend Sell,sl 1.16630,8,9
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.06,2026-01-15 12:00:00,2026-01-15 15:40:15,220.25,1.16348,1.16058,1.16348,10.0,17.4,0.0,0.0,17.4,TP,,FAT Trend Sell,tp 1.16058,10,11
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.07,2026-01-16 15:00:00,2026-01-16 17:40:16,160.27,1.16181,1.15912,1.16181,12.0,18.83,0.0,0.0,18.83,TP,,FAT Trend Sell,tp 1.15913,12,13
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-16 18:00:00,2026-01-19 01:09:16,3309.27,1.15926,1.16101,1.15926,14.0,-8.75,0.0,0.1,-8.65,SL,,FAT Breakout Sell,sl 1.16101,14,15
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-19 03:00:00,2026-01-20 09:34:05,1834.08,1.16329,1.16845,1.16329,16.0,15.48,0.0,-0.25,15.23,TP,,FAT Breakout Buy,tp 1.16843,16,17
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-21 06:00:00,2026-01-21 20:41:04,881.07,1.172,1.16926,1.172,18.0,-8.22,0.0,0.0,-8.22,SL,,FAT Trend Buy,sl 1.16926,18,19
run_20260621_205032,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,EURUSD_H1_EXIT_NO_TRAILING_10000,out_of_sample,EURUSD,H1,buy,0.05,2026-01-23 10:00:00,2026-01-23 18:34:27,514.45,1.17369,1.17661,1.17369,20.0,14.6,0.0,0.0,14.6,TP,,FAT Trend Buy,tp 1.17660,20,21
